Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
United States of America,Americas,37405329,11300.61,838639,253.36,0,622459,188.05,5658,1.71,0
India,South-East Asia,32449306,2351.39,223793,16.22,25072,434756,31.5,3114,0.23,389
Brazil,Americas,20556487,9670.94,206345,97.08,28388,574209,270.14,5421,2.55,698
Russian Federation,Europe,6766541,4636.7,144940,99.32,19454,176820,121.16,5515,3.78,776
The United Kingdom,Europe,6492910,9564.43,225469,332.13,31976,131640,193.91,687,1.01,49
France,Europe,6443609,9907.25,132308,203.43,17312,111999,172.2,558,0.86,44
Turkey,Europe,6215663,7369.85,137010,162.45,18622,54533,64.66,1374,1.63,206
Argentina,Americas,5130852,11352.5,49944,110.51,5889,110217,243.87,1281,2.83,147
Colombia,Americas,4886897,9604.2,22268,43.76,2965,124121,243.93,765,1.5,98
Spain,Europe,4770453,10078.57,44579,94.18,0,83136,175.64,332,0.7,0
Iran (Islamic Republic of),Eastern Mediterranean,4677114,5568.46,251293,299.18,36419,102038,121.48,4210,5.01,684
Italy,Europe,4484613,7519.28,43944,73.68,5922,128751,215.87,319,0.53,23
Indonesia,South-East Asia,3989060,1458.4,117322,42.89,9604,127214,46.51,8381,3.06,842
Germany,Europe,3871865,4655.55,48726,58.59,3668,91980,110.6,109,0.13,4
Mexico,Americas,3217415,2495.42,125444,97.29,20307,252927,196.17,4760,3.69,847
Poland,Europe,2886805,7605.23,1344,3.54,107,75316,198.42,17,0.04,0
South Africa,Africa,2690973,4537.23,85387,143.97,10748,79421,133.91,2280,3.84,170
Ukraine,Europe,2275171,5202.32,8842,20.22,610,53474,122.27,205,0.47,17
Peru,Americas,2141235,6494.13,8401,25.48,1173,197818,599.96,478,1.45,66
Netherlands,Europe,1918769,11022.6,17002,97.67,2499,17953,103.13,44,0.25,6
Philippines,Western Pacific,1839635,1678.79,98399,89.8,16044,31810,29.03,1470,1.34,214
Iraq,Eastern Mediterranean,1825089,4537.48,49325,122.63,5634,20184,50.18,512,1.27,74
Czechia,Europe,1677619,15687.57,1322,12.36,107,30385,284.13,10,0.09,0
Chile,Americas,1633816,8546.76,4624,24.19,663,36650,191.72,270,1.41,45
Malaysia,Western Pacific,1555093,4804.71,150194,464.05,19807,14168,43.77,1658,5.12,232
Bangladesh,South-East Asia,1467715,891.2,41854,25.41,5717,25399,15.42,1050,0.64,117
Canada,Americas,1465866,3883.9,14874,39.41,0,26789,70.98,88,0.23,0
Japan,Western Pacific,1300353,1028.14,155807,123.19,22914,15631,12.36,223,0.18,35
Belgium,Europe,1163726,10099.65,8377,72.7,0,25320,219.75,21,0.18,0
Pakistan,Eastern Mediterranean,1123812,508.76,25402,11.5,3842,24923,11.28,517,0.23,75
Sweden,Europe,1116584,10811.66,5411,52.39,0,14668,142.03,1,0.01,0
Romania,Europe,1091340,5646.17,3831,19.82,415,34425,178.1,72,0.37,13
Thailand,South-East Asia,1066786,1528.35,138472,198.38,17491,9562,13.7,1828,2.62,242
Portugal,Europe,1019420,9901.21,16085,156.23,2112,17639,171.32,77,0.75,9
Israel,Europe,994615,11491.08,44829,517.92,1446,6830,78.91,123,1.42,0
Hungary,Europe,811121,8302.56,617,6.32,340,30052,307.61,11,0.11,6
Kazakhstan,Europe,811052,4319.46,43889,233.74,0,12655,67.4,930,4.95,0
Morocco,Eastern Mediterranean,810949,2197.07,51493,139.51,4661,11792,31.95,775,2.1,115
Jordan,Eastern Mediterranean,789474,7737.56,6026,59.06,958,10293,100.88,80,0.78,8
Switzerland,Europe,755644,8731.11,17125,197.87,1026,10397,120.13,20,0.23,2
Nepal,South-East Asia,748981,2570.57,14143,48.54,1548,10533,36.15,206,0.71,24
Serbia,Europe,742313,10716.68,10269,148.25,1242,7214,104.15,47,0.68,8
United Arab Emirates,Eastern Mediterranean,709378,7172.39,7602,76.86,1076,2020,20.42,19,0.19,2
Austria,Europe,672138,7551.21,7945,89.26,1174,10564,118.68,3,0.03,1
Tunisia,Eastern Mediterranean,640897,5422.77,15209,128.69,2825,22537,190.69,632,5.35,80
Lebanon,Eastern Mediterranean,592156,8675.71,9144,133.97,1173,8011,117.37,35,0.51,3
Cuba,Americas,583299,5149.81,65631,579.44,9548,4544,40.12,521,4.6,63
Greece,Europe,559186,5216.99,22061,205.82,1947,13384,124.87,161,1.5,33
Saudi Arabia,Eastern Mediterranean,541994,1556.83,3469,9.96,384,8481,24.36,69,0.2,12
Georgia,Europe,517098,12962.53,32844,823.33,2354,6831,171.24,395,9.9,60
Ecuador,Americas,495115,2806.29,100,0.57,0,31985,181.29,12,0.07,0
Bolivia (Plurinational State of),Americas,486394,4166.82,4263,36.52,468,18296,156.74,144,1.23,27
Belarus,Europe,469717,4970.91,8414,89.04,1302,3681,38.96,77,0.81,11
Paraguay,Americas,457612,6415.84,1023,14.34,140,15550,218.01,130,1.82,22
Panama,Americas,451984,10475.28,4723,109.46,691,7003,162.3,56,1.3,5
Bulgaria,Europe,441295,6348.21,8061,115.96,384,18475,265.77,131,1.88,8
Costa Rica,Americas,440647,8650.11,10560,207.3,0,5312,104.28,87,1.71,0
Guatemala,Americas,437919,2444.35,26188,146.17,4580,11450,63.91,365,2.04,78
Kuwait,Eastern Mediterranean,408245,9559.49,1705,39.92,167,2404,56.29,15,0.35,1
Slovakia,Europe,394093,7220.63,557,10.21,11,12547,229.89,3,0.05,0
Azerbaijan,Europe,391506,3861.32,23504,231.81,3069,5308,52.35,155,1.53,29
Sri Lanka,South-East Asia,390000,1821.3,27926,130.41,0,7366,34.4,1160,5.42,0
Uruguay,Americas,384026,11055.15,814,23.43,123,6016,173.19,15,0.43,1
Myanmar,South-East Asia,375871,690.81,18886,34.71,2186,14499,26.65,1054,1.94,125
Croatia,Europe,369838,9113.43,2770,68.26,73,8303,204.6,18,0.44,2
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,355509,6968.83,6024,118.08,906,3905,76.55,13,0.25,5
Viet Nam,Western Pacific,348059,357.58,73015,75.01,11352,8277,8.5,2503,2.57,737
Dominican Republic,Americas,347835,3206.47,1659,15.29,198,3989,36.77,9,0.08,0
Denmark,Europe,337466,5795.63,6689,114.88,720,2566,44.07,6,0.1,2
Ireland,Europe,337117,6790.63,12370,249.17,1688,5074,102.21,15,0.3,0
Honduras,Americas,326830,3299.78,10595,106.97,0,8594,86.77,221,2.23,0
Venezuela (Bolivarian Republic of),Americas,324642,1141.66,6457,22.71,1116,3886,13.67,97,0.34,15
Oman,Eastern Mediterranean,301299,5900.16,1105,21.64,385,4031,78.94,38,0.74,11
Ethiopia,Africa,295804,257.3,6530,5.68,785,4561,3.97,83,0.07,8
Libya,Eastern Mediterranean,295254,4296.92,13324,193.91,1722,4051,58.96,147,2.14,34
Lithuania,Europe,294086,10525.29,3916,140.15,319,4494,160.84,42,1.5,7
Egypt,Eastern Mediterranean,286352,279.82,994,0.97,184,16671,16.29,52,0.05,8
Bahrain,Eastern Mediterranean,271631,15963.5,712,41.84,97,1386,81.45,2,0.12,0
Republic of Moldova,Europe,264432,6555.14,2388,59.2,149,6357,157.59,49,1.21,1
Slovenia,Europe,263664,12580.22,2166,103.35,116,4768,227.5,4,0.19,0
Armenia,Europe,237885,8027.88,3071,103.64,251,4762,160.7,60,2.02,10
Republic of Korea,Western Pacific,237782,463.79,12301,23.99,1418,2222,4.33,55,0.11,7
Qatar,Eastern Mediterranean,230837,8012.24,1669,57.93,205,601,20.86,0,0,0
Kenya,Africa,229009,425.89,8282,15.4,646,4497,8.36,157,0.29,30
Bosnia and Herzegovina,Europe,209782,6394.2,2274,69.31,249,9725,296.42,17,0.52,1
Zambia,Africa,204549,1112.65,2288,12.45,212,3574,19.44,45,0.24,1
Algeria,Africa,191583,436.89,4325,9.86,412,5004,11.41,210,0.48,20
Mongolia,Western Pacific,190248,5803.27,7657,233.57,0,892,27.21,16,0.49,0
Nigeria,Africa,187023,90.73,4520,2.19,388,2268,1.1,49,0.02,8
Kyrgyzstan,Europe,174148,2669.27,1821,27.91,228,2489,38.15,38,0.58,5
North Macedonia,Europe,168872,8105.67,6708,321.98,881,5668,272.06,116,5.57,14
Puerto Rico,Americas,163982,5731.93,5813,203.19,854,2738,95.71,76,2.66,13
Afghanistan,Eastern Mediterranean,152583,391.96,441,1.13,72,7076,18.18,51,0.13,6
Uzbekistan,Europe,149876,447.8,5958,17.8,818,1028,3.07,47,0.14,7
Norway,Europe,148817,2772.52,5610,104.52,1760,811,15.11,3,0.06,0
Botswana,Africa,146461,6228.07,9703,412.61,0,2081,88.49,108,4.59,0
Mozambique,Africa,142784,456.83,4035,12.91,261,1800,5.76,84,0.27,15
Latvia,Europe,141118,7397.38,996,52.21,174,2569,134.67,8,0.42,1
Albania,Europe,139324,4841.34,3377,117.35,534,2478,86.11,14,0.49,1
Estonia,Europe,139126,10468.66,1971,148.31,319,1285,96.69,6,0.45,4
Kosovo[1],Europe,129266,7198.78,13062,727.42,1682,2316,128.98,42,2.34,11
Namibia,Africa,123581,4863.66,1112,43.76,98,3342,131.53,65,2.56,9
China,Western Pacific,122698,8.34,320,0.02,36,5676,0.39,7,0,0
Zimbabwe,Africa,122652,825.22,2564,17.25,165,4249,28.59,140,0.94,13
Finland,Europe,122417,2215.58,4435,80.27,371,1014,18.35,1,0.02,0
Uganda,Africa,118673,259.45,21686,47.41,21220,2952,6.45,70,0.15,6
Ghana,Africa,114584,368.76,3352,10.79,627,968,3.12,38,0.12,7
Cyprus,Europe,111333,12537.43,2461,277.14,193,483,54.39,27,3.04,6
Montenegro,Europe,109962,17508.14,3761,598.83,624,1671,266.06,29,4.62,8
El Salvador,Americas,92686,1428.97,2557,39.42,0,2840,43.79,51,0.79,9
Cambodia,Western Pacific,89231,533.71,3783,22.63,496,1792,10.72,109,0.65,14
Rwanda,Africa,83023,640.99,3311,25.56,393,1021,7.88,62,0.48,11
Cameroon,Africa,82454,310.61,0,0,0,1338,5.04,0,0,0
Maldives,South-East Asia,79959,14792.32,670,123.95,0,223,41.25,1,0.18,0
Luxembourg,Europe,74985,11976.37,302,48.23,0,830,132.56,2,0.32,0
Senegal,Africa,71927,429.57,1248,7.45,155,1671,9.98,71,0.42,12
Singapore,Western Pacific,66478,1136.31,306,5.23,35,49,0.84,5,0.09,2
Jamaica,Americas,61833,2088.13,3888,131.3,551,1388,46.87,88,2.97,17
Malawi,Africa,59471,310.88,1388,7.26,72,2074,10.84,106,0.55,15
Democratic Republic of the Congo,Africa,54009,60.3,755,0.84,110,1053,1.18,3,0,0
Côte d’Ivoire,Africa,53645,203.37,1443,5.47,189,395,1.5,36,0.14,6
Réunion,Africa,46754,5222.09,2919,326.03,0,310,34.62,12,1.34,0
Angola,Africa,45945,139.79,1328,4.04,128,1153,3.51,53,0.16,13
Australia,Western Pacific,44028,172.66,4937,19.36,917,981,3.85,23,0.09,3
Fiji,Western Pacific,43597,4863.32,3360,374.81,303,438,48.86,67,7.47,5
Trinidad and Tobago,Americas,42962,3069.84,1286,91.89,123,1219,87.1,46,3.29,4
Madagascar,Africa,42845,154.73,34,0.12,3,954,3.45,2,0.01,0
Eswatini,Africa,40455,3487.01,4447,383.31,172,1004,86.54,70,6.03,13
Guadeloupe,Americas,37955,9485.81,8195,2048.12,0,389,97.22,54,13.5,0
Sudan,Eastern Mediterranean,37639,85.84,42,0.1,0,2784,6.35,0,0,0
French Polynesia,Western Pacific,36372,12948.01,8042,2862.86,0,257,91.49,69,24.56,0
Malta,Europe,35774,6952.29,437,84.93,53,436,84.73,6,1.17,0
Cabo Verde,Africa,34738,6247.99,341,61.33,52,305,54.86,5,0.9,3
Martinique,Americas,33821,9012.56,3574,952.39,0,278,74.08,57,15.19,0
French Guiana,Americas,33060,11068.63,1234,413.15,0,204,68.3,6,2.01,0
Mauritania,Africa,31822,684.39,1701,36.58,180,673,14.47,33,0.71,1
Guinea,Africa,28802,219.31,965,7.35,155,314,2.39,35,0.27,6
Suriname,Americas,27371,4665.79,832,141.83,161,697,118.81,17,2.9,1
Syrian Arab Republic,Eastern Mediterranean,26799,153.13,457,2.61,0,1964,11.22,27,0.15,0
Gabon,Africa,25667,1153.19,103,4.63,0,165,7.41,0,0,0
Guyana,Americas,24224,3079.77,769,97.77,177,591,75.14,18,2.29,0
Haiti,Americas,20719,181.71,30,0.26,0,583,5.11,1,0.01,0
Mayotte,Africa,19682,7214.41,68,24.93,18,175,64.15,0,0,0
Togo,Africa,19614,236.92,1614,19.5,486,172,2.08,7,0.08,0
Seychelles,Africa,19609,19938.58,410,416.89,23,98,99.65,0,0,0
Papua New Guinea,Western Pacific,17926,200.36,94,1.05,1,192,2.15,0,0,0
Bahamas,Americas,17278,4393.71,741,188.43,150,333,84.68,20,5.09,3
Tajikistan,Europe,16868,176.86,293,3.07,45,125,1.31,0,0,0
Somalia,Eastern Mediterranean,16535,104.04,216,1.36,0,897,5.64,14,0.09,0
Belize,Americas,15415,3876.74,568,142.85,0,351,88.27,7,1.76,0
Andorra,Europe,14988,19398.18,64,82.83,0,129,166.96,0,0,0
Curaçao,Americas,14802,9020.49,406,247.42,0,136,82.88,4,2.44,0
Mali,Africa,14758,72.88,62,0.31,8,536,2.65,1,0,0
Timor-Leste,South-East Asia,14403,1092.42,1721,130.53,187,49,3.72,16,1.21,1
Lesotho,Africa,14371,670.84,128,5.98,0,400,18.67,3,0.14,0
Aruba,Americas,13719,12849.6,790,739.94,0,124,116.14,9,8.43,0
Burkina Faso,Africa,13713,65.6,38,0.18,14,171,0.82,1,0,0
Congo,Africa,13493,244.52,95,1.72,0,179,3.24,0,0,0
Lao People's Democratic Republic,Western Pacific,12469,171.38,2377,32.67,305,11,0.15,2,0.03,0
Djibouti,Eastern Mediterranean,11696,1183.81,14,1.42,6,157,15.89,1,0.1,0
Burundi,Africa,11333,95.31,1230,10.34,79,10,0.08,0,0,0
South Sudan,Africa,11310,101.04,115,1.03,9,120,1.07,0,0,0
Central African Republic,Africa,11270,233.34,19,0.39,0,99,2.05,0,0,0
Benin,Africa,10183,84,1118,9.22,0,119,0.98,6,0.05,0
Iceland,Europe,10115,2777.82,537,147.47,62,30,8.24,0,0,0
Gambia,Africa,9470,391.86,275,11.38,31,301,12.46,30,1.24,5
Jersey,Europe,9055,8400.13,237,219.86,0,75,69.58,1,0.93,0
Equatorial Guinea,Africa,9049,644.98,77,5.49,0,123,8.77,0,0,0
Guam,Western Pacific,8955,5305.88,371,219.82,0,144,85.32,1,0.59,0
Nicaragua,Americas,8496,128.25,303,4.57,0,198,2.99,1,0.02,0
Mauritius,Africa,8098,636.75,1976,155.37,284,25,1.97,3,0.24,2
Yemen,Eastern Mediterranean,7509,25.18,216,0.72,22,1418,4.75,15,0.05,2
Saint Lucia,Americas,7111,3872.52,824,448.74,156,97,52.82,2,1.09,0
Eritrea,Africa,6623,186.75,22,0.62,3,37,1.04,0,0,0
Sierra Leone,Africa,6352,79.63,10,0.13,0,121,1.52,0,0,0
Isle of Man,Europe,6274,7378.4,557,655.05,42,29,34.1,0,0,0
Niger,Africa,5770,23.84,46,0.19,9,196,0.81,0,0,0
United States Virgin Islands,Americas,5605,5367.49,310,296.86,11,45,43.09,4,3.83,0
Liberia,Africa,5527,109.28,23,0.45,0,245,4.84,24,0.47,0
Guinea-Bissau,Africa,5518,280.39,395,20.07,22,103,5.23,13,0.66,4
Gibraltar,Europe,5278,15665.9,66,195.9,9,96,284.94,1,2.97,0
San Marino,Europe,5261,15501.8,30,88.4,6,90,265.19,0,0,0
Chad,Africa,4985,30.35,3,0.02,0,174,1.06,0,0,0
Barbados,Americas,4640,1614.62,115,40.02,12,48,16.7,0,0,0
Comoros,Africa,4050,465.73,12,1.38,2,147,16.9,0,0,0
Sint Maarten,Americas,3366,7849.45,238,555.01,0,42,97.94,3,7,0
Liechtenstein,Europe,3340,8620.02,58,149.69,0,58,149.69,0,0,0
Saint Martin,Americas,3147,8140.41,204,527.69,0,16,41.39,-17,-43.97,0
Monaco,Europe,3133,7983.39,74,188.56,4,35,89.19,0,0,0
Bermuda,Americas,2750,4416.04,75,120.44,0,33,52.99,0,0,0
New Zealand,Western Pacific,2698,55.95,128,2.65,38,26,0.54,0,0,0
Turks and Caicos Islands,Americas,2612,6746.22,44,113.64,11,19,49.07,0,0,0
Bhutan,South-East Asia,2585,335.01,8,1.04,0,3,0.39,0,0,0
British Virgin Islands,Americas,2568,8492.91,16,52.92,0,37,122.37,0,0,0
Sao Tome and Principe,Africa,2524,1151.68,36,16.43,0,37,16.88,0,0,0
Saint Vincent and the Grenadines,Americas,2320,2091.22,6,5.41,0,12,10.82,0,0,0
Brunei Darussalam,Western Pacific,1769,404.36,1046,239.1,314,3,0.69,0,0,0
Bonaire,Americas,1733,8285.92,26,124.31,0,17,81.28,0,0,0
Saint Barthélemy,Americas,1553,15710.67,74,748.61,0,1,10.12,0,0,0
Antigua and Barbuda,Americas,1490,1521.51,118,120.5,0,43,43.91,0,0,0
United Republic of Tanzania,Africa,1367,2.29,0,0,0,50,0.08,0,0,0
Dominica,Americas,1339,1859.95,396,550.07,16,1,1.39,1,1.39,0
Guernsey,Europe,1149,1782.28,78,120.99,0,18,27.92,0,0,0
Faroe Islands,Europe,995,2036.22,4,8.19,0,2,4.09,0,0,0
Saint Kitts and Nevis,Americas,823,1547.23,168,315.84,31,3,5.64,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Cayman Islands,Americas,663,1008.83,12,18.26,0,2,3.04,0,0,0
Wallis and Futuna,Western Pacific,454,4036.99,0,0,0,7,62.24,0,0,0
Greenland,Europe,298,524.91,53,93.36,0,0,0,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,224,389.18,10,17.37,0,2,3.47,0,0,0
Grenada,Americas,222,197.29,34,30.22,10,1,0.89,0,0,0
Anguilla,Americas,166,1106.52,39,259.97,12,0,0,0,0,0
New Caledonia,Western Pacific,135,47.29,1,0.35,0,0,0,0,0,0
Falkland Islands (Malvinas),Americas,64,1837.5,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon,Americas,30,517.69,0,0,0,0,0,0,0,0
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0
Montserrat,Americas,25,500.1,2,40.01,0,1,20,0,0,0
Sint Eustatius,Americas,24,764.57,1,31.86,0,0,0,0,0,0
Solomon Islands,Western Pacific,20,2.91,0,0,0,0,0,0,0,0
Saba,Americas,10,517.33,2,103.47,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0
Vanuatu,Western Pacific,3,0.98,0,0,0,0,0,0,0,0
Palau,Western Pacific,2,11.05,2,11.05,2,0,0,0,0,0
Samoa,Western Pacific,1,0.5,0,0,0,0,0,0,0,0
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
